player_id,first_name,last_name,position,team_id,status,total_points,current_value,selected_by_percent,news,photo,image_status
1,Folarin,Balogun,4,1,a,0,45,0.7,,232223.jpg,Downloaded
2,Cédric,Alves Soares,2,1,a,0,40,0.4,,58822.jpg,Downloaded
3,Mohamed,Elneny,3,1,i,0,44,0.1,Knee injury - Unknown return date,153256.jpg,Downloaded
4,Fábio,Ferreira Vieira,3,1,a,0,54,0.1,,438098.jpg,Downloaded
5,Gabriel,dos Santos Magalhães,2,1,a,2,49,24.6,,226597.jpg,Downloaded
6,Kai,Havertz,3,1,a,4,74,3.6,,219847.jpg,Downloaded
7,Rob,Holding,2,1,a,0,45,0.2,,156074.jpg,Downloaded
8,Gabriel,Fernando de Jesus,4,1,i,0,79,1.2,Knee injury - Unknown return date,205651.jpg,Downloaded
9,Jorge Luiz,Frello Filho,3,1,a,1,55,0.2,,85955.jpg,Downloaded
10,Jakub,Kiwior,2,1,a,1,45,0.1,,440854.jpg,Downloaded
11,Marcus,Oliveira Alencar,3,1,u,0,45,0.1,Season long loan to FC Nantes,479683.jpg,Downloaded
12,Gabriel,Martinelli Silva,3,1,a,8,80,15.2,,444145.jpg,Downloaded
13,Eddie,Nketiah,4,1,a,13,56,6.4,,205533.jpg,Downloaded
14,Martin,Ødegaard,3,1,a,13,85,23.0,,184029.jpg,Downloaded
15,Thomas,Partey,3,1,a,5,50,0.4,,167199.jpg,Downloaded
16,Nicolas,Pépé,3,1,a,0,49,0.1,,195735.jpg,Downloaded
17,Aaron,Ramsdale,1,1,a,8,50,17.7,,225321.jpg,Downloaded
18,Rúnar Alex,Rúnarsson,1,1,u,0,40,0.2,Season long loan to Crystal Palace,115918.jpg,Downloaded
19,Bukayo,Saka,3,1,a,13,86,66.4,,223340.jpg,Downloaded
20,William,Saliba,2,1,a,13,51,25.6,,462424.jpg,Downloaded
21,Albert,Sambi Lokonga,3,1,a,0,50,0.0,,437742.jpg,Downloaded
22,Emile,Smith Rowe,3,1,a,0,54,0.2,,209289.jpg,Downloaded
23,Nuno,Varela Tavares,2,1,a,0,40,0.3,,437626.jpg,Downloaded
24,Kieran,Tierney,2,1,a,0,45,0.3,,192895.jpg,Downloaded
25,Takehiro,Tomiyasu,2,1,s,4,45,0.3,Suspended until 03 Sep,223723.jpg,Downloaded
26,Leandro,Trossard,3,1,a,1,68,3.7,,116216.jpg,Downloaded
27,Auston,Trusty,2,17,a,0,40,1.1,,201410.jpg,Downloaded
28,Matt,Turner,1,16,a,4,40,14.6,,224068.jpg,Downloaded
29,Benjamin,White,2,1,a,8,55,9.4,,198869.jpg,Downloaded
30,Granit,Xhaka,3,1,u,0,60,0.0,Transferred to Bayer Leverkusen,84450.jpg,Downloaded
31,Oleksandr,Zinchenko,2,1,a,1,49,5.5,,206325.jpg,Downloaded
32,Alexandre,Moreno Lopera,2,2,i,0,50,0.0,Hamstring injury - Expected back 03 Sep,106468.jpg,Downloaded
33,Cameron,Archer,4,2,a,0,45,5.3,,433979.jpg,Downloaded
34,Leon,Bailey,3,2,a,15,55,1.5,,215711.jpg,Downloaded
35,Emiliano,Buendía Stati,3,2,i,0,59,0.1,Knee injury - Expected back 10 Feb,195546.jpg,Downloaded
36,Matty,Cash,2,2,a,5,45,7.8,,199796.jpg,Downloaded
37,Calum,Chambers,2,2,a,0,40,1.3,,101184.jpg,Downloaded
38,Philippe,Coutinho Correia,3,2,d,2,60,0.5,Hamstring injury - 25% chance of playing,84583.jpg,Downloaded
39,Keinan,Davis,4,2,a,0,50,0.3,,221239.jpg,Downloaded
